Timeline,Value,Latency
0,1,42
1,1,42
2,0,99
3,0,99
4,0,99
5,1,42
6,0,99
7,1,42
8,1,99
9,0,99
10,0,42
11,1,99
12,0,42
13,0,99
14,1,99
15,0,42
16,1,42
17,0,99
18,0,99
19,0,99
20,1,42
21,0,99
22,0,99
23,0,99
24,1,42
25,1,42
26,0,99
27,1,42
28,0,99
29,0,99
30,0,99
31,1,42
32,1,42
33,0,99
34,1,42
35,1,42
36,0,99
37,1,42
38,1,43
39,0,99
40,1,42
41,0,99
42,1,42
43,0,99
44,1,43
45,1,43
46,1,43
47,1,43
48,1,42
49,1,43
50,0,99
51,1,43
52,1,43
53,0,99
54,1,43
55,1,43
56,0,99
57,1,42
58,0,99
59,1,43
60,0,99
61,0,99
62,0,99
63,1,42
64,0,99
65,0,99
66,1,42
67,1,42
68,0,99
69,0,99
70,0,99
71,0,99
72,1,42
73,0,99
74,0,101
75,1,42
76,0,99
77,1,42
78,1,42
79,1,42
80,1,42
81,1,42
82,1,42
83,1,43
84,0,99
85,0,99
86,0,99
87,1,42
88,0,99
89,1,42
90,0,99
91,1,42
92,0,99
93,0,99
94,0,99
95,1,42
